"ANIO","CVE_MES","CVE_ENT","INDICADOR"
2018,1,10,0
2019,1,10,0
2020,1,10,2
2021,1,10,1
2022,1,10,1
2015,2,10,1
2016,2,10,0
2017,2,10,0
2018,2,10,1
2019,2,10,1
2020,2,10,0
2021,2,10,0
2022,2,10,0
2015,3,10,0
2016,3,10,0
2017,3,10,0
2018,3,10,0
2019,3,10,0
2020,3,10,2
2021,3,10,2
2022,3,10,2
2015,4,10,0
2016,4,10,0
2017,4,10,0
2018,4,10,0
2019,4,10,1
2020,4,10,1
2021,4,10,1
2022,4,10,1
2015,5,10,0
2016,5,10,0
2017,5,10,1
2018,5,10,0
2019,5,10,1
2020,5,10,1
2021,5,10,1
2022,5,10,2
2015,6,10,0
2016,6,10,1
2017,6,10,2
2018,6,10,0
2019,6,10,2
2020,6,10,0
2021,6,10,1
2022,6,10,2
2015,7,10,0
2016,7,10,0
2017,7,10,0
2018,7,10,0
2019,7,10,0
2020,7,10,2
2021,7,10,1
2015,8,10,0
2016,8,10,0
2017,8,10,2
2018,8,10,1
2019,8,10,2
2020,8,10,2
2021,8,10,0
2015,9,10,0
2016,9,10,1
2017,9,10,0
2018,9,10,1
2019,9,10,1
2020,9,10,0
2021,9,10,1
2015,10,10,1
2016,10,10,0
2017,10,10,1
2018,10,10,1
2019,10,10,1
2020,10,10,1
2021,10,10,1
2015,11,10,0
2016,11,10,0
2017,11,10,1
2018,11,10,0
2019,11,10,1
2020,11,10,1
2021,11,10,1
2015,12,10,0
2016,12,10,0
2017,12,10,0
2018,12,10,0
2019,12,10,0
2020,12,10,0
2021,12,10,0
2015,1,11,1
2016,1,11,1
2017,1,11,1
2018,1,11,2
2019,1,11,0
2020,1,11,4
2021,1,11,3
2022,1,11,2
2015,2,11,0
2016,2,11,1
2017,2,11,1
2018,2,11,5
2019,2,11,4
2020,2,11,1
2021,2,11,2
2022,2,11,1
2015,3,11,1
2016,3,11,0
2017,3,11,2
2018,3,11,1
2019,3,11,0
2020,3,11,2
2021,3,11,4
2022,3,11,2
2015,4,11,2
2016,4,11,1
2017,4,11,0
2018,4,11,0
2019,4,11,1
2020,4,11,1
2021,4,11,1
2022,4,11,2
2015,5,11,2
2016,5,11,1
2017,5,11,0
2018,5,11,1
2019,5,11,0
2020,5,11,0
2021,5,11,6
2022,5,11,1
2015,6,11,1
2016,6,11,1
2017,6,11,2
2018,6,11,1
2019,6,11,0
2020,6,11,1
2021,6,11,2
2022,6,11,4
2015,7,11,2
2016,7,11,1
2017,7,11,2
2018,7,11,2
2019,7,11,3
2020,7,11,1
2021,7,11,2
2015,8,11,1
2016,8,11,0
2017,8,11,2
2018,8,11,1
2019,8,11,1
2020,8,11,1
2021,8,11,5
2015,9,11,3
2016,9,11,2
2017,9,11,0
2018,9,11,0
2019,9,11,2
2020,9,11,3
2021,9,11,3
2015,10,11,2
2016,10,11,1
2017,10,11,2
2018,10,11,4
2019,10,11,1
2020,10,11,2
2021,10,11,1
2015,11,11,1
2016,11,11,2
2017,11,11,0
2018,11,11,3
2019,11,11,3
2020,11,11,2
2021,11,11,0
2015,12,11,0
2016,12,11,3
2017,12,11,0
2018,12,11,1
2019,12,11,3
2020,12,11,1
2021,12,11,1
2015,1,12,0
2016,1,12,2
2017,1,12,1
2018,1,12,4
2019,1,12,0
2020,1,12,0
2021,1,12,2
2022,1,12,1
2015,2,12,1
2016,2,12,0
2017,2,12,1
2018,2,12,3
2019,2,12,1
2020,2,12,3
2021,2,12,1
2022,2,12,0
2015,3,12,0
2016,3,12,1
2017,3,12,1
2018,3,12,3
2019,3,12,4
2020,3,12,3
2021,3,12,1
2022,3,12,1
2015,4,12,0
2016,4,12,2
2017,4,12,2
2018,4,12,2
2019,4,12,1
2020,4,12,2
2021,4,12,1
2022,4,12,2
2015,5,12,0
2016,5,12,4
2017,5,12,3
2018,5,12,1
2019,5,12,2
2020,5,12,0
2021,5,12,1
2022,5,12,0
2015,6,12,0
2016,6,12,0
2017,6,12,2
2018,6,12,4
2019,6,12,2
2020,6,12,1
2021,6,12,1
2022,6,12,0
2015,7,12,0
2016,7,12,2
2017,7,12,2
2018,7,12,3
2019,7,12,4
2020,7,12,1
2021,7,12,0
2015,8,12,0
2016,8,12,4
2017,8,12,1
2018,8,12,2
2019,8,12,0
2020,8,12,0
2021,8,12,2
2015,9,12,0
2016,9,12,1
2017,9,12,2
2018,9,12,4
2019,9,12,0
2020,9,12,0
2021,9,12,0
2015,10,12,0
2016,10,12,2
2017,10,12,2
2018,10,12,2
2019,10,12,1
2020,10,12,2
2021,10,12,4
2015,11,12,0
2016,11,12,2
2017,11,12,2
2018,11,12,2
2019,11,12,1
2020,11,12,0
2021,11,12,3
2015,12,12,0
2016,12,12,1
2017,12,12,2
2018,12,12,3
2019,12,12,2
2020,12,12,1
2021,12,12,1
2015,1,13,0
2016,1,13,0
2017,1,13,2
2018,1,13,2
2019,1,13,3
2020,1,13,1
2021,1,13,2
2022,1,13,1
2015,2,13,0
2016,2,13,2
2017,2,13,2
2018,2,13,1
2019,2,13,0
2020,2,13,3
2021,2,13,1
2022,2,13,2
2015,3,13,0
2016,3,13,2
2017,3,13,1
2018,3,13,1
2019,3,13,1
2020,3,13,2
2021,3,13,4
2022,3,13,0
2015,4,13,0
2016,4,13,2
2017,4,13,4
2018,4,13,3
2019,4,13,4
2020,4,13,0
2021,4,13,2
2022,4,13,1
2015,5,13,0
2016,5,13,3
2017,5,13,0
2018,5,13,3
2019,5,13,1
2020,5,13,4
2021,5,13,1
2022,5,13,0
2015,6,13,0
2016,6,13,4
2017,6,13,1
2018,6,13,3
2019,6,13,2
2020,6,13,1
2021,6,13,1
2022,6,13,2
2015,7,13,0
2016,7,13,2
2017,7,13,2
2018,7,13,3
2019,7,13,2
2020,7,13,1
2021,7,13,0
2015,8,13,0
2016,8,13,2
2017,8,13,1
2018,8,13,0
2019,8,13,1
2020,8,13,3
2021,8,13,1
2015,9,13,0
2016,9,13,1
2017,9,13,0
2018,9,13,2
2019,9,13,1
2020,9,13,1
2021,9,13,3
2015,10,13,0
2016,10,13,0
